"country","class"
"Angola","true"
"Anguilla","true"
"Argentina","true"
"Bahamas","true"
"Barbados","true"
"Benin","true"
"Bermuda","true"
"Cape Verde","true"
"Equatorial Guinea","true"
"Falkland Islands","true"
"French Guiana","true"
"Gabon","true"
"Gambia","true"
"Ghana","true"
"Guinea","true"
"Guinea-Bissau","true"
"Guyana","true"
"Iceland","true"
"Liberia","true"
"Mauritania","true"
"Morocco","true"
"Portugal","true"
"Puerto Rico","true"
"Saint Helena","true"
"Saint Pierre and Miquelon","true"
"Sao Tome and Principe","true"
"Senegal","true"
"Sierra Leone","true"
"Suriname","true"
"Togo","true"
"Turks and Caicos Islands","true"
"Uruguay","true"
"Afghanistan","false"
"Albania","false"
"Algeria","false"
"American Samoa","false"
"Andorra","false"
"Antigua and Barbuda","false"
"Armenia","false"
"Aruba","false"
"Australia","false"
"Austria","false"
"Azerbaijan","false"
"Bahrain","false"
"Bangladesh","false"
"Belarus","false"
"Belgium","false"
"Belize","false"
"Bhutan","false"
"Bolivia","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"Brazil","false"
"British Virgin Islands","false"
"Brunei","false"
"Bulgaria","false"
"Burkina Faso","false"
"Burundi","false"
"Cambodia","false"
"Cameroon","false"
"Canada","false"
"Cayman Islands","false"
"Central African Republic","false"
"Ceuta","false"
"Chad","false"
"Chile","false"
"China","false"
"Christmas Island","false"
"Cocos Islands","false"
"Colombia","false"
"Comoros","false"
"Congo","false"
"Cook Islands","false"
"Costa Rica","false"
"Cote dIvoire","false"
"Croatia","false"
"Cuba","false"
"Curacao","false"
"Cyprus","false"
"Czech Republic","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Dominican Republic","false"
"Ecuador","false"
"Egypt","false"
"El Salvador","false"
"Eritrea","false"
"Estonia","false"
"Ethiopia","false"
"Faroe Islands","false"
"Fiji","false"
"Finland","false"
"France","false"
"French Polynesia","false"
"Gaza Strip","false"
"Georgia","false"
"Germany","false"
"Gibraltar","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Guadeloupe","false"
"Guam","false"
"Guatemala","false"
"Guernsey","false"
"Haiti","false"
"Holy See","false"
"Honduras","false"
"Hong Kong","false"
"Hungary","false"
"India","false"
"Indonesia","false"
"Iran","false"
"Iraq","false"
"Ireland","false"
"Isle of Man","false"
"Israel","false"
"Italy","false"
"Jamaica","false"
"Japan","false"
"Jersey","false"
"Jordan","false"
"Kazakhstan","false"
"Kenya","false"
"Kiribati","false"
"Kosovo","false"
"Kuwait","false"
"Kyrgyzstan","false"
"Laos","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Libya","false"
"Liechtenstein","false"
"Lithuania","false"
"Luxembourg","false"
"Macao","false"
"Macedonia","false"
"Madagascar","false"
"Malawi","false"
"Malaysia","false"
"Maldives","false"
"Mali","false"
"Malta","false"
"Marshall Islands","false"
"Martinique","false"
"Mauritius","false"
"Mayotte","false"
"Melilla","false"
"Mexico","false"
"Micronesia","false"
"Moldova","false"
"Monaco","false"
"Mongolia","false"
"Montenegro","false"
"Montserrat","false"
"Mozambique","false"
"Myanmar","false"
"Namibia","false"
"Nauru","false"
"Nepal","false"
"Netherlands","false"
"New Caledonia","false"
"New Zealand","false"
"Nicaragua","false"
"Niger","false"
"Nigeria","false"
"Niue","false"
"Norfolk Island","false"
"North Korea","false"
"Northern Mariana Islands","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Palau","false"
"Panama","false"
"Papua New Guinea","false"
"Paraguay","false"
"Peru","false"
"Philippines","false"
"Pitcairn","false"
"Poland","false"
"Qatar","false"
"Reunion","false"
"Romania","false"
"Russia","false"
"Rwanda","false"
"Saint Barthelemy","false"
"Saint Kitts and Nevis","false"
"Saint Lucia","false"
"Saint Martin","false"
"Saint Vincent and the Grenadines","false"
"Samoa","false"
"San Marino","false"
"Saudi Arabia","false"
"Serbia","false"
"Seychelles","false"
"Singapore","false"
"Sint Maarten","false"
"Slovakia","false"
"Slovenia","false"
"Solomon Islands","false"
"Somalia","false"
"South Africa","false"
"South Korea","false"
"South Sudan","false"
"Spain","false"
"Sri Lanka","false"
"Sudan","false"
"Svalbard","false"
"Swaziland","false"
"Sweden","false"
"Switzerland","false"
"Syria","false"
"Taiwan","false"
"Tajikistan","false"
"Tanzania","false"
"Thailand","false"
"Timor-Leste","false"
"Tokelau","false"
"Tonga","false"
"Trinidad and Tobago","false"
"Tunisia","false"
"Turkey","false"
"Turkmenistan","false"
"Tuvalu","false"
"Uganda","false"
"Ukraine","false"
"United Arab Emirates","false"
"United Kingdom","false"
"United States","false"
"Uzbekistan","false"
"Vanuatu","false"
"Venezuela","false"
"Vietnam","false"
"Virgin Islands","false"
"Wallis and Futuna","false"
"West Bank","false"
"Western Sahara","false"
"Yemen","false"
"Zaire","false"
"Zambia","false"
"Zimbabwe","false"
