"country","class"
"Vanuatu","false"
"Saint Vincent and the Grenadines","false"
"Christmas Island","false"
"Anguilla","false"
"Indonesia","true"
"Costa Rica","false"
"Greenland","false"
"Mauritius","false"
"Macedonia","false"
"Reunion","false"
"Tuvalu","false"
"Egypt","true"
"Spain","false"
"Guatemala","false"
"Belgium","false"
"Guinea-Bissau","true"
"United States","false"
"New Caledonia","false"
"British Virgin Islands","false"
"Germany","false"
"Djibouti","true"
"South Sudan","true"
"Bosnia and Herzegovina","false"
"Saint Martin","false"
"Zambia","true"
"Ghana","false"
"Madagascar","true"
"Hong Kong","false"
"Cape Verde","true"
"Greece","false"
"Poland","true"
"Senegal","true"
"Sierra Leone","false"
"Liechtenstein","false"
"Gabon","false"
"Chad","true"
"Liberia","true"
"Equatorial Guinea","true"
"Namibia","true"
"France","true"
"Qatar","false"
"Haiti","true"
"Gambia","true"
"Albania","false"
"Somalia","false"
"Svalbard","false"
"American Samoa","false"
"Portugal","false"
"Azerbaijan","true"
"Latvia","false"
"El Salvador","true"
"Zimbabwe","false"
"Sri Lanka","true"
"Czech Republic","false"
"Yemen","true"
"Angola","false"
"Ukraine","true"
"Sweden","false"
"Cambodia","false"
"Macao","false"
"Slovakia","false"
"Mexico","false"
"South Africa","true"
"Montenegro","true"
"Japan","false"
"United Arab Emirates","false"
"Guyana","true"
"Kyrgyzstan","true"
"Romania","true"
"Uruguay","false"
"Mongolia","false"
"Iraq","false"
"Bahrain","false"
"Niger","true"
"Burundi","true"
"San Marino","true"
"Togo","false"
"Iceland","false"
"Trinidad and Tobago","false"
"Vietnam","false"
"North Korea","false"
"Marshall Islands","false"
"Papua New Guinea","false"
"Australia","false"
"Russia","false"
"Western Sahara","false"
"China","false"
"Cook Islands","false"
"Jamaica","false"
"Ecuador","true"
"Bahamas","false"
"Guernsey","false"
"Virgin Islands","false"
"India","false"
"Nigeria","false"
"Bolivia","false"
"Mauritania","false"
"Saudi Arabia","false"
"Solomon Islands","false"
"Netherlands","false"
"Fiji","true"
"Wallis and Futuna","false"
"Aruba","false"
"Holy See","false"
"Ceuta","false"
"Ethiopia","false"
"Bhutan","false"
"Chile","true"
"Faroe Islands","false"
"Belarus","false"
"Saint Kitts and Nevis","false"
"Malta","true"
"Tajikistan","true"
"Singapore","false"
"Jordan","false"
"Brazil","false"
"Malaysia","false"
"Micronesia","false"
"Uganda","true"
"Nepal","false"
"Comoros","true"
"Curacao","false"
"Thailand","false"
"Luxembourg","false"
"Nicaragua","true"
"Andorra","false"
"Guinea","true"
"Cayman Islands","false"
"Zaire","true"
"Kuwait","false"
"Tanzania","true"
"Malawi","false"
"Saint Lucia","false"
"Dominica","false"
"Israel","false"
"Turkmenistan","false"
"Colombia","false"
"Cameroon","false"
"Sao Tome and Principe","true"
"Bangladesh","false"
"Guadeloupe","false"
"Lebanon","true"
"Timor-Leste","true"
"Niue","false"
"Mali","true"
"Isle of Man","false"
"Congo","true"
"French Guiana","false"
"Paraguay","false"
"Kazakhstan","false"
"Central African Republic","true"
"Cocos Islands","false"
"Philippines","true"
"Cyprus","true"
"Peru","false"
"Saint Pierre and Miquelon","false"
"Canada","false"
"Slovenia","false"
"Kosovo","true"
"Belize","false"
"Syria","false"
"Argentina","true"
"Norway","false"
"Morocco","false"
"Turks and Caicos Islands","false"
"South Korea","true"
"Melilla","false"
"Bulgaria","false"
"Guam","false"
"Saint Barthelemy","false"
"Mayotte","false"
"Georgia","true"
"Burkina Faso","false"
"Libya","false"
"Laos","false"
"Switzerland","false"
"Lesotho","false"
"Pitcairn","false"
"Swaziland","false"
"Montserrat","false"
"Samoa","false"
"Serbia","true"
"Oman","false"
"Nauru","true"
"Cuba","false"
"Dominican Republic","false"
"Honduras","false"
"Kiribati","true"
"Barbados","false"
"Iran","false"
"Tonga","false"
"Uzbekistan","false"
"Cote dIvoire","false"
"Italy","true"
"Denmark","false"
"Venezuela","false"
"Kenya","true"
"Bermuda","false"
"Jersey","false"
"Hungary","false"
"Falkland Islands","false"
"French Polynesia","false"
"Taiwan","false"
"Sudan","false"
"Myanmar","false"
"Saint Helena","false"
"Botswana","false"
"Northern Mariana Islands","false"
"Norfolk Island","false"
"Eritrea","false"
"Benin","true"
"Martinique","false"
"Ireland","false"
"Moldova","true"
"Lithuania","false"
"Suriname","false"
"Maldives","true"
"Mozambique","true"
"Puerto Rico","false"
"Monaco","false"
"Tunisia","true"
"Estonia","false"
"Brunei","false"
"Antigua and Barbuda","false"
"Palau","false"
"Sint Maarten","false"
"Seychelles","true"
"New Zealand","false"
"Grenada","false"
"Afghanistan","false"
"Panama","false"
"Pakistan","false"
"Gibraltar","false"
"Finland","true"
"Armenia","true"
"Algeria","true"
"Rwanda","false"
"United Kingdom","false"
"Turkey","false"
"Croatia","false"
"Austria","false"
