"country","class"
"American Samoa","true"
"Angola","true"
"Anguilla","true"
"Argentina","true"
"Bahamas","true"
"Barbados","true"
"Benin","true"
"Bermuda","true"
"Cape Verde","true"
"Christmas Island","true"
"Cocos Islands","true"
"Comoros","true"
"Cook Islands","true"
"Equatorial Guinea","true"
"Falkland Islands","true"
"Fiji","true"
"French Guiana","true"
"French Polynesia","true"
"Gabon","true"
"Gambia","true"
"Ghana","true"
"Guam","true"
"Guinea","true"
"Guinea-Bissau","true"
"Guyana","true"
"Iceland","true"
"Japan","true"
"Kiribati","true"
"Liberia","true"
"Maldives","true"
"Marshall Islands","true"
"Mauritania","true"
"Mauritius","true"
"Mayotte","true"
"Micronesia","true"
"Morocco","true"
"Mozambique","true"
"Nauru","true"
"New Caledonia","true"
"New Zealand","true"
"Niue","true"
"Norfolk Island","true"
"Northern Mariana Islands","true"
"Palau","true"
"Panama","true"
"Papua New Guinea","true"
"Peru","true"
"Pitcairn","true"
"Portugal","true"
"Puerto Rico","true"
"Reunion","true"
"Saint Helena","true"
"Saint Pierre and Miquelon","true"
"Samoa","true"
"Sao Tome and Principe","true"
"Senegal","true"
"Seychelles","true"
"Sierra Leone","true"
"Solomon Islands","true"
"Somalia","true"
"Sri Lanka","true"
"Suriname","true"
"Togo","true"
"Tokelau","true"
"Tonga","true"
"Turks and Caicos Islands","true"
"Tuvalu","true"
"Uruguay","true"
"Vanuatu","true"
"Wallis and Futuna","true"
"Afghanistan","false"
"Albania","false"
"Algeria","false"
"Andorra","false"
"Antigua and Barbuda","false"
"Armenia","false"
"Aruba","false"
"Australia","false"
"Austria","false"
"Azerbaijan","false"
"Bahrain","false"
"Bangladesh","false"
"Belarus","false"
"Belgium","false"
"Belize","false"
"Bhutan","false"
"Bolivia","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"Brazil","false"
"British Virgin Islands","false"
"Brunei","false"
"Bulgaria","false"
"Burkina Faso","false"
"Burundi","false"
"Cambodia","false"
"Cameroon","false"
"Canada","false"
"Cayman Islands","false"
"Central African Republic","false"
"Ceuta","false"
"Chad","false"
"Chile","false"
"China","false"
"Colombia","false"
"Congo","false"
"Costa Rica","false"
"Cote dIvoire","false"
"Croatia","false"
"Cuba","false"
"Curacao","false"
"Cyprus","false"
"Czech Republic","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Dominican Republic","false"
"Ecuador","false"
"Egypt","false"
"El Salvador","false"
"Eritrea","false"
"Estonia","false"
"Ethiopia","false"
"Faroe Islands","false"
"Finland","false"
"France","false"
"Gaza Strip","false"
"Georgia","false"
"Germany","false"
"Gibraltar","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Guadeloupe","false"
"Guatemala","false"
"Guernsey","false"
"Haiti","false"
"Holy See","false"
"Honduras","false"
"Hong Kong","false"
"Hungary","false"
"India","false"
"Indonesia","false"
"Iran","false"
"Iraq","false"
"Ireland","false"
"Isle of Man","false"
"Israel","false"
"Italy","false"
"Jamaica","false"
"Jersey","false"
"Jordan","false"
"Kazakhstan","false"
"Kenya","false"
"Kosovo","false"
"Kuwait","false"
"Kyrgyzstan","false"
"Laos","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Libya","false"
"Liechtenstein","false"
"Lithuania","false"
"Luxembourg","false"
"Macao","false"
"Macedonia","false"
"Madagascar","false"
"Malawi","false"
"Malaysia","false"
"Mali","false"
"Malta","false"
"Martinique","false"
"Melilla","false"
"Mexico","false"
"Moldova","false"
"Monaco","false"
"Mongolia","false"
"Montenegro","false"
"Montserrat","false"
"Myanmar","false"
"Namibia","false"
"Nepal","false"
"Netherlands","false"
"Nicaragua","false"
"Niger","false"
"Nigeria","false"
"North Korea","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Paraguay","false"
"Philippines","false"
"Poland","false"
"Qatar","false"
"Romania","false"
"Russia","false"
"Rwanda","false"
"Saint Barthelemy","false"
"Saint Kitts and Nevis","false"
"Saint Lucia","false"
"Saint Martin","false"
"Saint Vincent and the Grenadines","false"
"San Marino","false"
"Saudi Arabia","false"
"Serbia","false"
"Singapore","false"
"Sint Maarten","false"
"Slovakia","false"
"Slovenia","false"
"South Africa","false"
"South Korea","false"
"South Sudan","false"
"Spain","false"
"Sudan","false"
"Svalbard","false"
"Swaziland","false"
"Sweden","false"
"Switzerland","false"
"Syria","false"
"Taiwan","false"
"Tajikistan","false"
"Tanzania","false"
"Thailand","false"
"Timor-Leste","false"
"Trinidad and Tobago","false"
"Tunisia","false"
"Turkey","false"
"Turkmenistan","false"
"Uganda","false"
"Ukraine","false"
"United Arab Emirates","false"
"United Kingdom","false"
"United States","false"
"Uzbekistan","false"
"Venezuela","false"
"Vietnam","false"
"Virgin Islands","false"
"West Bank","false"
"Western Sahara","false"
"Yemen","false"
"Zaire","false"
"Zambia","false"
"Zimbabwe","false"
