"country","class"
"Andorra","true"
"Argentina","true"
"Belize","true"
"Bolivia","true"
"Cayman Islands","true"
"Chile","true"
"Colombia","true"
"Costa Rica","true"
"Cuba","true"
"Curacao","true"
"Dominican Republic","true"
"Ecuador","true"
"El Salvador","true"
"Equatorial Guinea","true"
"Guatemala","true"
"Honduras","true"
"Mexico","true"
"Nicaragua","true"
"Panama","true"
"Paraguay","true"
"Peru","true"
"Sint Maarten","true"
"Spain","true"
"United States","true"
"Uruguay","true"
"Venezuela","true"
"Afghanistan","false"
"Albania","false"
"Algeria","false"
"American Samoa","false"
"Angola","false"
"Anguilla","false"
"Antigua and Barbuda","false"
"Armenia","false"
"Aruba","false"
"Australia","false"
"Austria","false"
"Azerbaijan","false"
"Bahamas","false"
"Bahrain","false"
"Bangladesh","false"
"Barbados","false"
"Belarus","false"
"Belgium","false"
"Benin","false"
"Bermuda","false"
"Bhutan","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"Brazil","false"
"British Virgin Islands","false"
"Brunei","false"
"Bulgaria","false"
"Burkina Faso","false"
"Burundi","false"
"Cambodia","false"
"Cameroon","false"
"Canada","false"
"Cape Verde","false"
"Central African Republic","false"
"Ceuta","false"
"Chad","false"
"China","false"
"Christmas Island","false"
"Cocos Islands","false"
"Comoros","false"
"Congo","false"
"Cook Islands","false"
"Cote dIvoire","false"
"Croatia","false"
"Cyprus","false"
"Czech Republic","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Egypt","false"
"Eritrea","false"
"Estonia","false"
"Ethiopia","false"
"Falkland Islands","false"
"Faroe Islands","false"
"Fiji","false"
"Finland","false"
"France","false"
"French Guiana","false"
"French Polynesia","false"
"Gabon","false"
"Gambia","false"
"Gaza Strip","false"
"Georgia","false"
"Germany","false"
"Ghana","false"
"Gibraltar","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Guadeloupe","false"
"Guam","false"
"Guernsey","false"
"Guinea","false"
"Guinea-Bissau","false"
"Guyana","false"
"Haiti","false"
"Holy See","false"
"Hong Kong","false"
"Hungary","false"
"Iceland","false"
"India","false"
"Indonesia","false"
"Iran","false"
"Iraq","false"
"Ireland","false"
"Isle of Man","false"
"Israel","false"
"Italy","false"
"Jamaica","false"
"Japan","false"
"Jersey","false"
"Jordan","false"
"Kazakhstan","false"
"Kenya","false"
"Kiribati","false"
"Kosovo","false"
"Kuwait","false"
"Kyrgyzstan","false"
"Laos","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Liberia","false"
"Libya","false"
"Liechtenstein","false"
"Lithuania","false"
"Luxembourg","false"
"Macao","false"
"Macedonia","false"
"Madagascar","false"
"Malawi","false"
"Malaysia","false"
"Maldives","false"
"Mali","false"
"Malta","false"
"Marshall Islands","false"
"Martinique","false"
"Mauritania","false"
"Mauritius","false"
"Mayotte","false"
"Melilla","false"
"Micronesia","false"
"Moldova","false"
"Monaco","false"
"Mongolia","false"
"Montenegro","false"
"Montserrat","false"
"Morocco","false"
"Mozambique","false"
"Myanmar","false"
"Namibia","false"
"Nauru","false"
"Nepal","false"
"Netherlands","false"
"New Caledonia","false"
"New Zealand","false"
"Niger","false"
"Nigeria","false"
"Niue","false"
"Norfolk Island","false"
"North Korea","false"
"Northern Mariana Islands","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Palau","false"
"Papua New Guinea","false"
"Philippines","false"
"Pitcairn","false"
"Poland","false"
"Portugal","false"
"Puerto Rico","false"
"Qatar","false"
"Reunion","false"
"Romania","false"
"Russia","false"
"Rwanda","false"
"Saint Barthelemy","false"
"Saint Helena","false"
"Saint Kitts and Nevis","false"
"Saint Lucia","false"
"Saint Martin","false"
"Saint Pierre and Miquelon","false"
"Saint Vincent and the Grenadines","false"
"Samoa","false"
"San Marino","false"
"Sao Tome and Principe","false"
"Saudi Arabia","false"
"Senegal","false"
"Serbia","false"
"Seychelles","false"
"Sierra Leone","false"
"Singapore","false"
"Slovakia","false"
"Slovenia","false"
"Solomon Islands","false"
"Somalia","false"
"South Africa","false"
"South Korea","false"
"South Sudan","false"
"Sri Lanka","false"
"Sudan","false"
"Suriname","false"
"Svalbard","false"
"Swaziland","false"
"Sweden","false"
"Switzerland","false"
"Syria","false"
"Taiwan","false"
"Tajikistan","false"
"Tanzania","false"
"Thailand","false"
"Timor-Leste","false"
"Togo","false"
"Tokelau","false"
"Tonga","false"
"Trinidad and Tobago","false"
"Tunisia","false"
"Turkey","false"
"Turkmenistan","false"
"Turks and Caicos Islands","false"
"Tuvalu","false"
"Uganda","false"
"Ukraine","false"
"United Arab Emirates","false"
"United Kingdom","false"
"Uzbekistan","false"
"Vanuatu","false"
"Vietnam","false"
"Virgin Islands","false"
"Wallis and Futuna","false"
"West Bank","false"
"Western Sahara","false"
"Yemen","false"
"Zaire","false"
"Zambia","false"
"Zimbabwe","false"
